Date,Open,High,Low,Close,Adj Close,Volume
2007-11-01,115.449997,115.620003,113.989998,114.449997,81.583786,783300
2007-11-02,113.000000,113.379997,111.739998,113.000000,80.550163,567100
2007-11-05,111.000000,112.940002,110.620003,111.639999,79.580727,524200
2007-11-06,111.000000,112.120003,111.000000,111.989998,79.830208,496300
2007-11-07,114.250000,116.000000,110.879997,111.709999,79.630630,835900
2007-11-08,112.500000,112.500000,107.519997,108.989998,77.691711,867600
2007-11-09,106.790001,108.720001,106.790001,107.860001,76.886208,601600
2007-11-12,108.199997,109.459999,107.449997,107.730003,76.793564,608900
2007-11-13,108.879997,111.320000,108.879997,111.129997,79.217178,603300
2007-11-14,110.169998,112.139999,110.169998,111.120003,79.210052,484000
2007-11-15,111.150002,111.849998,109.760002,110.480003,78.753845,486000
2007-11-16,110.279999,111.269997,109.360001,110.199997,78.554230,418300
2007-11-19,109.750000,110.349998,107.980003,108.800003,77.556274,531100
2007-11-20,109.000000,111.290001,108.559998,110.070000,78.461563,655600
2007-11-21,108.989998,108.989998,106.940002,108.080002,77.043045,473100
2007-11-23,108.099998,109.680000,107.860001,109.400002,77.983971,164000
2007-11-26,108.400002,110.639999,108.400002,108.449997,77.306793,421800
2007-11-27,112.000000,112.699997,110.470001,112.110001,79.915749,1165000
2007-11-28,110.550003,112.699997,110.389999,112.169998,79.958511,514400
2007-11-29,112.000000,113.040001,111.980003,112.660004,80.307823,396000
2007-11-30,112.690002,113.750000,111.959999,112.449997,80.158127,458800
2007-12-03,112.000000,112.809998,110.610001,110.919998,79.067482,402500
2007-12-04,110.000000,110.980003,110.000000,110.720001,78.924911,291500
2007-12-05,110.889999,112.849998,110.889999,112.330002,80.072586,402000
2007-12-06,111.330002,113.559998,111.330002,113.419998,80.849556,290600
2007-12-07,114.250000,114.559998,113.849998,114.209999,81.412720,325700
2007-12-10,113.589996,115.190002,113.589996,114.940002,81.933083,530700
2007-12-11,114.820000,114.820000,110.900002,110.970001,79.103127,584300
2007-12-12,112.800003,114.989998,111.660004,112.519997,80.208008,520600
2007-12-13,111.000000,111.129997,109.690002,110.430000,78.718185,437800
2007-12-14,109.540001,109.540001,106.010002,106.300003,75.774193,1013800
2007-12-17,106.000000,106.910004,105.040001,105.190002,74.982964,450000
2007-12-18,105.750000,106.769997,104.800003,106.290001,75.767067,448500
2007-12-19,105.559998,106.650002,105.040001,105.580002,75.260956,461500
2007-12-20,105.010002,106.000000,105.010002,105.860001,75.460564,393200
2007-12-21,106.199997,107.459999,105.940002,107.400002,76.558311,374100
2007-12-24,106.980003,107.510002,106.680000,107.250000,76.451393,123500
2007-12-26,108.230003,108.900002,107.650002,108.870003,77.606171,449800
2007-12-27,108.849998,109.120003,107.269997,107.519997,76.643852,480300
2007-12-28,107.250000,107.669998,106.540001,106.599998,75.988045,336100
2007-12-31,106.500000,106.949997,105.650002,106.169998,75.681519,369100
2008-01-02,106.599998,107.650002,106.019997,106.459999,75.888245,373900
2008-01-03,107.500000,107.500000,106.290001,106.900002,76.201904,346200
2008-01-04,105.760002,106.500000,103.750000,103.940002,74.091927,560400
2008-01-07,104.000000,105.120003,103.720001,104.470001,74.469704,581800
2008-01-08,105.070000,105.120003,102.870003,103.040001,73.450371,453900
2008-01-09,103.510002,106.440002,103.510002,106.239998,75.731430,867800
2008-01-10,103.199997,104.940002,102.750000,104.379997,74.405563,802500
2008-01-11,102.510002,104.739998,102.510002,102.930000,73.371948,442600
2008-01-14,103.010002,104.900002,103.010002,104.110001,74.213097,385700
2008-01-15,104.000000,104.000000,100.250000,100.449997,71.604126,861500
2008-01-16,98.889999,100.260002,98.239998,99.260002,70.755859,764100
2008-01-17,100.790001,101.279999,98.320000,98.599998,70.285385,753200
2008-01-18,99.750000,100.839996,98.010002,99.699997,71.069496,950400
2008-01-22,91.919998,97.830002,91.209999,96.910004,69.080704,1348300
2008-01-23,94.989998,99.720001,94.000000,99.250000,70.748718,1388700
2008-01-24,99.370003,100.209999,98.540001,99.699997,71.069496,570200
2008-01-25,102.730003,104.000000,101.199997,102.000000,72.709007,688700
2008-01-28,102.000000,102.349998,100.669998,102.199997,72.851578,629400
2008-01-29,103.739998,103.820000,102.690002,103.820000,74.006386,462500
2008-01-30,104.139999,106.199997,103.449997,104.720001,74.647919,637700
2008-01-31,107.809998,108.900002,106.379997,108.320000,77.214134,1733400
2008-02-01,108.669998,109.800003,108.470001,109.800003,78.269127,489800
2008-02-04,109.900002,110.410004,109.019997,109.190002,77.834282,396000
2008-02-05,107.010002,107.010002,105.110001,105.370003,75.111252,729400
2008-02-06,109.320000,110.629997,107.730003,107.779999,76.829185,1096400
2008-02-07,110.250000,110.790001,108.730003,110.379997,78.682549,1123000
2008-02-08,109.050003,110.169998,107.839996,108.629997,77.435089,407100
2008-02-11,108.989998,110.519997,108.199997,110.290001,78.618408,535400
2008-02-12,111.250000,113.169998,111.250000,112.150002,79.944267,774900
2008-02-13,111.769997,111.769997,109.250000,110.220001,78.568497,632900
2008-02-14,110.500000,110.970001,109.150002,109.519997,78.069527,361600
2008-02-15,111.099998,111.650002,109.610001,110.989998,79.117393,315800
2008-02-19,116.930000,117.589996,114.919998,116.000000,82.688690,933800
2008-02-20,113.449997,113.839996,111.500000,113.250000,80.728401,471500
2008-02-21,113.000000,113.000000,110.800003,110.809998,78.989067,479600
2008-02-22,110.809998,111.239998,108.440002,110.730003,78.932053,923000
2008-02-25,111.309998,112.320000,110.489998,112.139999,79.937141,528100
2008-02-26,110.699997,112.809998,110.180000,112.139999,79.937141,513000
2008-02-27,112.050003,113.839996,112.050003,112.870003,80.457520,749200
2008-02-28,111.470001,111.470001,110.290001,110.570000,78.818001,410900
2008-02-29,109.989998,109.989998,108.150002,108.550003,77.378059,534000
2008-03-03,108.000000,109.160004,107.489998,109.080002,77.755882,803800
2008-03-04,106.779999,106.779999,104.169998,105.260002,75.032845,902100
2008-03-05,105.410004,106.400002,104.660004,105.599998,75.275215,556700
2008-03-06,104.839996,105.949997,104.040001,104.410004,74.426941,660100
2008-03-07,104.419998,104.419998,102.690002,103.370003,73.685593,692700
2008-03-10,102.510002,103.150002,100.489998,100.800003,71.853600,663200
2008-03-11,104.580002,106.070000,104.139999,106.070000,75.610245,710900
2008-03-12,107.019997,107.019997,104.900002,105.019997,74.861786,386000
2008-03-13,103.900002,105.550003,102.410004,105.000000,74.847511,700400
2008-03-14,103.250000,103.389999,99.150002,100.279999,71.482925,1261300
2008-03-17,98.360001,100.519997,97.860001,99.199997,70.713081,954200
2008-03-18,100.400002,102.709999,100.279999,102.599998,73.136719,675600
2008-03-19,102.010002,103.559998,100.739998,100.839996,71.882118,785000
2008-03-20,101.889999,103.500000,99.919998,103.160004,73.535896,560700
2008-03-24,105.000000,108.019997,104.919998,106.070000,75.610245,845700
2008-03-25,106.949997,107.250000,104.779999,106.949997,76.237541,409000
2008-03-26,105.000000,106.650002,104.080002,104.209999,75.304626,369500
2008-03-27,104.000000,104.000000,102.190002,102.260002,73.895500,432700
2008-03-28,103.680000,104.639999,103.309998,103.790001,75.001122,1684000
2008-03-31,100.290001,101.330002,99.800003,100.889999,72.905533,778100
2008-04-01,101.190002,103.459999,101.099998,103.279999,74.632576,1421500
2008-04-02,103.169998,103.290001,101.309998,101.919998,73.649834,1134300
2008-04-03,102.190002,102.190002,99.790001,100.040001,72.291290,1080600
2008-04-04,98.540001,98.680000,97.540001,97.980003,70.802681,1236400
2008-04-07,98.000000,98.230003,97.199997,97.470001,70.434120,1166200
2008-04-08,97.250000,97.250000,96.059998,96.430000,69.682625,813200
2008-04-09,96.900002,96.900002,95.089996,95.199997,68.793777,738400
2008-04-10,95.570000,96.239998,95.010002,95.410004,68.945526,2826700
2008-04-11,96.400002,96.400002,95.010002,96.019997,69.386330,749400
2008-04-14,96.860001,96.860001,95.550003,95.739998,69.183990,509100
2008-04-15,95.269997,96.400002,95.250000,96.330002,69.610359,541600
2008-04-16,97.320000,98.250000,96.440002,97.980003,70.802681,667600
2008-04-17,97.500000,98.900002,97.500000,98.570000,71.229027,558500
2008-04-18,100.489998,101.949997,100.379997,101.550003,73.382439,769900
2008-04-21,102.500000,103.940002,102.000000,103.720001,74.950546,554000
2008-04-22,101.690002,101.690002,100.120003,100.559998,72.667053,560200
2008-04-23,99.750000,100.239998,99.050003,100.180000,72.392456,378600
2008-04-24,99.320000,100.699997,98.889999,100.099998,72.334656,517300
2008-04-25,101.010002,102.410004,101.010002,102.059998,73.750999,518700
2008-04-28,101.419998,102.589996,101.419998,101.959999,73.678734,308800
2008-04-29,101.160004,102.300003,101.160004,101.800003,73.563118,283800
2008-04-30,101.160004,103.180000,101.160004,101.500000,73.346306,569600
2008-05-01,101.019997,103.339996,101.019997,103.070000,74.480843,506300
2008-05-02,103.309998,105.139999,103.309998,104.940002,75.832138,863600
2008-05-05,104.949997,105.339996,104.099998,105.120003,75.962212,572300
2008-05-06,105.169998,105.900002,104.389999,105.660004,76.352432,482000
2008-05-07,105.680000,106.580002,104.449997,104.760002,75.702103,355600
2008-05-08,102.989998,102.989998,99.250000,100.559998,72.667053,853800
2008-05-09,102.019997,102.129997,100.089996,101.309998,73.209045,683600
2008-05-12,101.040001,101.629997,100.709999,101.610001,73.425804,420200
2008-05-13,101.500000,102.000000,100.779999,101.349998,73.237938,309900
2008-05-14,100.029999,101.599998,100.029999,100.769997,72.818810,234200
2008-05-15,102.000000,104.120003,102.000000,104.120003,75.239594,649500
2008-05-16,102.690002,102.900002,101.300003,101.870003,73.613693,662200
2008-05-19,104.570000,106.000000,104.570000,105.209999,76.027252,592000
2008-05-20,103.940002,103.940002,102.790001,103.209999,74.582001,511400
2008-05-21,101.419998,102.190002,100.190002,100.190002,72.399666,599000
2008-05-22,100.989998,101.389999,99.510002,100.480003,72.609245,567900
2008-05-23,99.980003,99.980003,98.500000,98.889999,71.460266,754900
2008-05-27,101.940002,101.940002,98.099998,99.230003,71.705978,846000
2008-05-28,97.199997,98.470001,96.699997,97.790001,70.665382,1063800
2008-05-29,98.769997,99.519997,98.260002,99.209999,71.691521,488400
2008-05-30,101.680000,102.300003,101.110001,102.050003,73.743752,409900
2008-06-02,103.029999,104.220001,102.099998,102.510002,74.076164,424000
2008-06-03,102.099998,103.720001,101.919998,102.290001,73.917168,469200
2008-06-04,104.610001,105.120003,104.000000,104.620003,75.600906,850300
2008-06-05,105.349998,106.820000,105.110001,106.739998,77.132858,944700
2008-06-06,105.599998,105.599998,102.500000,102.639999,74.170120,619800
2008-06-09,103.559998,103.800003,101.860001,102.589996,74.133980,357700
2008-06-10,100.190002,102.250000,100.190002,101.589996,73.411362,536500
2008-06-11,103.010002,103.580002,101.330002,101.459999,73.317436,574000
2008-06-12,100.919998,101.940002,100.419998,100.809998,72.847710,435100
2008-06-13,103.480003,103.480003,101.000000,102.709999,74.220665,421600
2008-06-16,103.050003,103.800003,102.800003,103.800003,75.008347,518000
2008-06-17,103.500000,104.400002,103.000000,103.269997,74.625359,435700
2008-06-18,103.110001,104.360001,101.809998,102.449997,74.032799,793400
2008-06-19,102.430000,102.430000,100.760002,102.150002,73.816025,621000
2008-06-20,100.389999,100.599998,97.230003,97.709999,70.607567,873000
2008-06-23,99.010002,99.010002,97.389999,97.849998,70.708740,515800
2008-06-24,96.809998,96.980003,95.489998,95.830002,69.249031,858200
2008-06-25,96.489998,98.430000,95.650002,97.139999,70.195702,765400
2008-06-26,96.480003,96.480003,94.500000,94.500000,68.287949,981500
2008-06-27,95.989998,95.989998,93.910004,94.330002,68.165108,710500
2008-06-30,93.900002,95.000000,93.800003,94.000000,67.926659,522100
2008-07-01,93.690002,93.949997,91.940002,93.660004,67.680931,1298400
2008-07-02,93.040001,94.599998,91.209999,91.400002,66.047806,1127100
2008-07-03,91.599998,92.790001,91.230003,92.000000,66.481369,367000
2008-07-07,92.650002,93.849998,92.550003,93.169998,67.326866,632600
2008-07-08,92.809998,93.379997,91.949997,92.839996,67.088402,525900
2008-07-09,92.989998,93.599998,91.370003,91.480003,66.105621,637800
2008-07-10,92.320000,93.239998,91.400002,92.599998,66.914970,645200
2008-07-11,91.500000,92.239998,89.610001,90.519997,65.411888,785800
2008-07-14,90.500000,90.529999,89.000000,89.370003,64.580910,616600
2008-07-15,88.500000,89.000000,87.059998,88.230003,63.757103,1599000
2008-07-16,88.010002,90.779999,87.660004,90.730003,65.563667,1001900
2008-07-17,89.820000,90.550003,89.000000,90.050003,65.072273,1178200
2008-07-18,88.949997,89.820000,88.610001,89.290001,64.523087,495300
2008-07-21,89.940002,89.989998,88.680000,89.269997,64.508606,473500
2008-07-22,91.379997,92.919998,90.889999,92.870003,67.110077,840100
2008-07-23,91.139999,93.000000,90.800003,91.919998,66.423592,900300
2008-07-24,94.120003,94.459999,92.860001,93.190002,67.341301,896400
2008-07-25,92.510002,93.260002,91.550003,91.820000,66.351318,592400
2008-07-28,90.800003,90.800003,88.269997,88.540001,63.981113,560900
2008-07-29,88.010002,90.220001,88.010002,90.040001,65.065048,517800
2008-07-30,89.300003,89.809998,88.339996,89.050003,64.349663,503200
2008-07-31,85.750000,87.160004,85.589996,86.050003,62.181770,930400
2008-08-01,86.000000,86.809998,84.680000,85.080002,61.480846,623100
2008-08-04,83.099998,83.099998,82.080002,82.639999,59.717617,803200
2008-08-05,83.500000,86.519997,83.500000,86.110001,62.225128,949800
